Id,City,FamilyId,House,PremiseId,State,Street,Zip
2,Seattle,2,4130,2,WA,Owagner Lane,98119
3,Albany,3,331,3,NY,Golden Ridge Road,12207
4,Boston,4,1043,4,MA,Levy Court,2110
5,Lisbon,5,1791,5,OH,Derek Drive,44432
6,Denver,6,4831,6,CO,Snider Street,80216
7,Weirton,7,4655,7,WV,Fulton Street,26062
8,Redmond,8,2409,8,WA,Stockert Hollow Road,98052
9,Tacoma,9,4751,9,WA,Dale Avenue,98407
10,Eau Claire,10,4857,10,WI,Benson Street,54701
11,Concord,11,1457,11,CA,Thunder Road,94520
12,Elizabethtown,12,4356,12,KY,Shady Pines Drive,42701
13,Rolling Meadows,13,3819,13,IL,Oak Avenue,60008
14,Upper Arlington,14,4440,14,OH,Quilly Lane,43221
15,New Brunswick,15,357,15,NJ,Pooz Street,8901
16,Stockton,16,771,16,CA,Maple Avenue,95204
17,Albany,17,2415,17,NY,Oak Drive,12207
18,Dallas,18,1723,18,TX,Whitetail Lane,75207
19,Phoenix,19,2453,19,AZ,Hillside Street,85012
20,Lima,20,4873,20,OH,Carriage Lane,45806
21,Orlando,21,77,21,FL,Hide A Way Road,32810
22,Lakeview,22,3028,22,MI,Hart Ridge Road,48850
23,El Paso,23,3464,23,TX,Ward Road,79906
24,Montpelier,24,4747,24,VT,Essex Court,5602
25,New Berlin,25,2240,25,WI,Woodlawn Drive,53151
26,Oakland,26,1964,26,CA,Meadow Lane,94612
27,Lake Geneva,27,2491,27,WI,Oakridge Farm Lane,53147
28,Brattleboro,28,193,28,VT,Selah Way,5301
29,Anaheim,29,961,29,CA,Locust Court,92805
30,Hickory Hills,30,2956,30,IL,Vesta Drive,60457
31,Tribune,31,587,31,KS,Breezewood Court,67879
32,Albuquerque,32,379,32,NM,Cooks Mine Road,87102
33,Elizabethtown,33,1686,33,KY,Harper Street,42701
34,Billings,34,1797,34,MT,Coolidge Street,59102
35,Franklin,35,3289,35,KY,Rowes Lane,42134
36,Madison,36,4152,36,WI,Browning Lane,53718
37,Healy Lake,37,3083,37,AK,Kidd Avenue,99737
38,Waterloo,38,3826,38,IA,Bailey Drive,50703
39,Bridgeville,39,3679,39,PA,Michigan Avenue,15017
40,Hagerstown,40,3896,40,MD,Lake Floyd Circle,21740
41,Garfield Heights,41,3783,41,OH,Flynn Street,44128
42,San Jose,42,3550,42,CA,Sycamore Street,95120
43,Gardiner,43,3141,43,MT,Coolidge Street,59030
44,Onondaga,44,1275,44,MI,Haven Lane,49264
45,Fort Wainwright,45,2178,45,AK,Blackwell Street,99703
46,Pine Hill,46,509,46,TX,Grant Street,75652
47,Champaign,47,2899,47,IL,Scenic Way,61820
48,Indianapolis,48,1437,48,IN,Capitol Avenue,46204
49,Lexington,49,3607,49,MA,Stanton Hollow Road,2421
50,Laie,50,1946,50,HI,Emma Street,96762
51,State College,51,178,51,PA,Harley Brook Lane,16803
52,Boise,52,4971,52,ID,Maple Avenue,83702
53,Tukwila,53,3552,53,WA,Conifer Drive,98188
54,New York,54,547,54,NY,Cantebury Drive,10013
55,Denver,55,3393,55,CO,Clay Lick Road,80211
56,Boys Ranch,56,3581,56,FL,Spirit Drive,32060
57,Sutton,57,940,57,NE,North Avenue,68979
58,Roswell,58,3703,58,GA,Clement Street,30076
59,Fort Lauderdale,59,1053,59,FL,Foley Street,33304
60,Buffalo,60,3255,60,NY,Jarvis Street,14202
61,Bluffton,1,260,65,SC,Broadway Street,29910
