Gender,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,EmailAddress,TelephoneNumber,Birthday,Latitude,Longitude
male,Mark,D,Ragsdale,"642 Midway Road","Fort Smith",AR,72901,MarkDRagsdale@armyspy.com,479-709-7196,12/9/1962,35.459299,-94.490442
male,Larry,J,Schreiber,"4130 Owagner Lane",Seattle,WA,98119,LarryJSchreiber@superrito.com,206-273-7593,12/20/1993,47.694769,-122.35046
female,Helen,R,Anderson,"331 Golden Ridge Road",Albany,NY,12207,HelenRAnderson@superrito.com,518-328-6199,11/21/1993,42.746607,-73.814173
male,Michael,E,Pope,"1043 Levy Court",Boston,MA,02110,MichaelEPope@einrot.com,978-709-3809,7/25/1950,42.400307,-70.960943
female,Gail,R,Amundson,"1791 Derek Drive",Lisbon,OH,44432,GailRAmundson@fleckens.hu,330-420-6851,9/28/1986,40.805249,-80.845032
male,Fernando,A,Maldonado,"4831 Snider Street",Denver,CO,80216,FernandoAMaldonado@einrot.com,720-217-0959,12/8/1977,39.752412,-104.871988
male,Ronald,M,Fritz,"4655 Fulton Street",Weirton,WV,26062,RonaldMFritz@fleckens.hu,304-479-2005,2/2/1981,40.455658,-80.551129
female,Cecilia,J,Cole,"2409 Stockert Hollow Road",Redmond,WA,98052,CeciliaJCole@dayrep.com,425-835-6526,10/17/1977,47.750322,-122.027703
female,Marilyn,T,Redd,"4751 Dale Avenue",Tacoma,WA,98407,MarilynTRedd@einrot.com,253-752-4033,5/21/1942,47.33331,-122.488917
male,Eric,N,Witt,"4857 Benson Street","Eau Claire",WI,54701,EricNWitt@rhyta.com,715-338-5116,8/23/1946,44.704306,-91.472898
female,Lisa,J,Smith,"1457 Thunder Road",Concord,CA,94520,LisaJSmith@dayrep.com,650-539-9969,6/14/1945,37.911247,-121.976172
female,Kristina,P,Lang,"4356 Shady Pines Drive",Elizabethtown,KY,42701,KristinaPLang@einrot.com,270-940-9853,8/18/1997,37.654122,-85.935255
female,Emilia,M,McClure,"3819 Oak Avenue","Rolling Meadows",IL,60008,EmiliaMMcClure@jourrapide.com,847-978-1043,12/2/1954,42.004182,-88.07296
male,Anthony,S,Alicea,"4440 Quilly Lane","Upper Arlington",OH,43221,AnthonySAlicea@armyspy.com,614-486-2398,1/30/1993,40.053835,-83.005002
female,Natalie,M,Waldron,"357 Pooz Street","New Brunswick",NJ,08901,NatalieMWaldron@einrot.com,732-214-3475,2/7/1971,40.511401,-74.390377
male,Christopher,M,Garcia,"771 Maple Avenue",Stockton,CA,95204,ChristopherMGarcia@teleworm.us,209-260-0170,3/8/1948,37.974764,-121.386717
female,Doris,K,Viramontes,"2415 Oak Drive",Albany,NY,12207,DorisKViramontes@einrot.com,518-557-4635,7/15/1947,42.671659,-73.711586
female,Bronwyn,B,Pimentel,"1723 Whitetail Lane",Dallas,TX,75207,BronwynBPimentel@dayrep.com,469-449-6545,11/14/1956,32.844369,-96.852638
female,Elizabeth,R,Horn,"2453 Hillside Street",Phoenix,AZ,85012,ElizabethRHorn@dayrep.com,480-467-8686,3/31/1963,33.445992,-112.088148
male,Lynn,R,Gerber,"4873 Carriage Lane",Lima,OH,45806,LynnRGerber@cuvox.de,567-940-2160,7/26/1958,40.774852,-84.165096
male,Danny,G,Ruiz,"77 Hide A Way Road",Orlando,FL,32810,DannyGRuiz@armyspy.com,407-970-1534,12/7/1983,28.656174,-81.484993
male,Jeffrey,I,Gates,"3028 Hart Ridge Road",Lakeview,MI,48850,JeffreyIGates@armyspy.com,989-352-8303,12/18/1992,43.339162,-85.355175
female,Shirley,D,Burke,"3464 Ward Road","El Paso",TX,79906,ShirleyDBurke@einrot.com,915-274-1381,4/22/1996,31.84399,-106.482607
female,Lakisha,R,Robinson,"4747 Essex Court",Montpelier,VT,05602,LakishaRRobinson@gustr.com,802-371-3731,4/27/1938,44.353396,-72.709392
female,Lela,Z,Highsmith,"2240 Woodlawn Drive","New Berlin",WI,53151,LelaZHighsmith@dayrep.com,414-748-1523,6/11/1984,42.94117,-88.093723
female,Michelle,F,Rodgers,"1964 Meadow Lane",Oakland,CA,94612,MichelleFRodgers@gustr.com,707-356-8502,6/18/1977,37.866475,-122.249518
female,Kelly,J,McCaughey,"2491 Oakridge Farm Lane","Lake Geneva",WI,53147,KellyJMcCaughey@jourrapide.com,262-348-8607,6/18/1998,42.538992,-88.428353
male,Willie,S,Royal,"193 Selah Way",Brattleboro,VT,05301,WillieSRoyal@fleckens.hu,802-714-7807,6/25/1950,42.799624,-72.75205
female,Josephine,B,Booher,"961 Locust Court",Anaheim,CA,92805,JosephineBBooher@jourrapide.com,562-478-8549,6/8/1981,33.828892,-117.811751
